Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.233704586079349,-0.170724695305215,0.0656816218304322,0,0,0,2.039657590176,0.00338395410459643,-5.22346850738525E-12,-3.11212901639624E-05,0.00557048223435682,1.30947753493714E-11,0.00865832882623317,0,0,0,0,0,0,package://model15/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model15/meshes/base_link.STL,,20x20 70-6;20x20 290-4;20x20 70-7;20x20 190-5;20x20 70-8;20x20 150-1;20x20 290-3;20x20 200-2;20x20 200-1;20x20 190-4;20x20 190-3;plate-4;plate-5;20x20 70-5;20x20 70-9;20x20 190-6;20x20 70-11;20x20 70-12;20x20 70-13;plate1-1;suspension-3;suspension-4;suspension-1;suspension-2;part3-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_wheel_suspension,0.00153023333982288,-0.00499966029225218,-6.66133814775094E-15,0,0,0,0.0239463719407108,1.07207044697232E-06,-6.56161020907689E-21,1.99685049324664E-21,5.97423909283024E-06,-3.86666262269128E-23,5.30127484486976E-06,0,0,0,0,0,0,package://model15/meshes/left_front_wheel_suspension.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model15/meshes/left_front_wheel_suspension.STL,,suspension2-1,Origin_left_front_wheel_suspension_joint2,Axis_left_front_wheel_suspension_joint,left_front_wheel_suspension_joint,prismatic,0.173017310205243,-0.256380818269965,-0.0251829837934054,1.5707963267949,-0.00582847831492263,0,base_link,0,1,0,1000,1000,0,0.008,,,,,,,,
left_front_wheel_motor,-2.79575138499993E-05,0.0019490794439902,-0.0129364619296177,0,0,0,0.0411670033844285,1.15503164126153E-05,-2.96411876568126E-09,-1.64845302072257E-08,6.93803138202261E-06,1.56454773172921E-07,9.57898906372989E-06,0,0,0,0,0,0,package://model15/meshes/left_front_wheel_motor.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://model15/meshes/left_front_wheel_motor.STL,,Dynamixel MX-28-18,Origin_left_front_wheel_motor_joint2,Axis_left_front_wheel_motor_joint,left_front_wheel_motor_joint,fixed,0.000300000000000022,-0.021785446729879,-0.00999999999999998,3.14159265358979,0,-1.5707963267949,left_front_wheel_suspension,0,0,0,3.1,7,,,,,,,,,,
left_front_wheel,0.0158391990185352,-6.93889390390723E-18,3.1641356201817E-15,0,0,0,0.22822169800504,0.0007892115763339,-1.65302974455766E-20,3.95755131124754E-18,0.000410429434291421,-3.84527315454464E-19,0.00041042943429142,0,0,0,0,0,0,package://model15/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model15/meshes/left_front_wheel.STL,,Wheel_3dprintABS-12,Origin_left_front_wheel_joint3,Axis_left_front_wheel_joint3,left_front_wheel_joint,continuous,0,0.0133000000000001,-0.0247499999999968,1.56496784847997,1.5707963267949,0,left_front_wheel_motor,1,0,0,3.1,7,,,,,,,,,,
right_front_wheel_suspension,0.00153023333982283,-0.0049996602922521,-6.67521593555875E-15,0,0,0,0.0239463719407107,1.07207044697232E-06,-5.89903853842192E-21,1.70976521885377E-21,5.97423909283023E-06,5.87407071638264E-23,5.30127484486976E-06,0,0,0,0,0,0,package://model15/meshes/right_front_wheel_suspension.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model15/meshes/right_front_wheel_suspension.STL,,suspension2-2,Origin_right_front_wheel_suspension_joint2,Axis_right_front_wheel_suspension_joint,right_front_wheel_suspension_joint,prismatic,0.173017310205243,-0.0863808182699648,-0.0251829837934054,1.5707963267949,-0.00582847831492263,0,base_link,0,1,0,1000,1000,0,0.008,,,,,,,,
right_front_wheel_motor,-2.79575138501104E-05,0.0019490794439902,-0.012936461929631,0,0,0,0.0411670033844285,1.15503164126153E-05,-2.9641187656836E-09,-1.64845302071878E-08,6.93803138202261E-06,1.56454773172925E-07,9.57898906372989E-06,0,0,0,0,0,0,package://model15/meshes/right_front_wheel_motor.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://model15/meshes/right_front_wheel_motor.STL,,Dynamixel MX-28-19,Origin_right_front_wheel_motor_joint2,Axis_right_front_wheel_motor_joint,right_front_wheel_motor_joint,fixed,0.000299999999999967,-0.021785446729879,0.01,0,0,1.5707963267949,right_front_wheel_suspension,0,0,0,3.1,7,,,,,,,,,,
right_front_wheel,0.0158391990185491,1.31838984174237E-16,1.94289029309402E-16,0,0,0,0.22822169800504,0.0007892115763339,-1.3297776936908E-20,-1.31191060294497E-18,0.000410429434291421,-3.30739896123204E-19,0.00041042943429142,0,0,0,0,0,0,package://model15/meshes/right_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model15/meshes/right_front_wheel.STL,,Wheel_3dprintABS-13,Origin_right_front_wheel_joint3,Axis_right_front_wheel_joint3,right_front_wheel_joint,continuous,0,0.0133,-0.02475,1.5766,1.5708,0,right_front_wheel_motor,-1,0,0,3.1,7,,,,,,,,,,
camera,0.0517232586747459,0.00370936546682633,-0.0103289561839309,0,0,0,0.0436119950287125,4.29479133591148E-06,8.8579111407478E-10,1.01813691673353E-09,2.21058141232447E-05,2.1757968121536E-08,2.35707058046399E-05,0,0,0,0,0,0,package://model15/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model15/meshes/camera.STL,,Webcam_C920-1,Origin_camera,Axis_camera,camera,fixed,0.12729,-0.12117,0.10055,-1.0708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
myrio,-5.92450278861234E-05,-0.0201677348757047,0.000391328969376853,0,0,0,0.272795037150939,0.000426495369649312,-1.33941181513932E-07,-1.32777557424162E-06,0.000584026336355448,-9.7817502168308E-08,0.000183119671370759,0,0,0,0,0,0,package://model15/meshes/myrio.STL,0.149019607843137,0.149019607843137,0.149019607843137,1,0,0,0,0,0,0,package://model15/meshes/myrio.STL,,NI myRIO2-2,Origin_myrio,Axis_myrio,myrio,fixed,0.261041499396395,-0.185631459517847,0.113328386370531,1.5707963267949,-0.0058284783149254,0,base_link,0,0,0,,,,,,,,,,,,
intel,-5.69397911324709E-05,0.0158670533538898,0.055083544841935,0,0,0,0.399542896482383,0.000432029127757847,-1.833831243821E-07,-3.17164967884077E-07,0.000836965270422519,4.77447001747385E-07,0.000473016843887474,0,0,0,0,0,0,package://model15/meshes/intel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model15/meshes/intel.STL,,Intel NUC-2,Origin_intel,Axis_intel,intel,fixed,0.20552,-0.10937,-0.025995,1.5708,-0.0058285,0,base_link,0,0,0,,,,,,,,,,,,
